                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211201"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      517                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  2.0315782275806603E-004                  9.9999269317705497E-001                  1.1269405177729329E-001                  9.4279195903750501E-002                  3.6113952460617292E-002                  9.9999269317705497E-001                  1.1269405177729329E-001                  9.4279195903750501E-002                  3.6113952460617292E-002                 -2.1340282069362910E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1340282069362910E+001                 -2.1340282069362910E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6544445891945818E+000                  3.4198848182718229E+000                  1.9243120671993750E+000                  1.0663864737340378E+000                 -8.1841576059482557E-001                  9.3806333561198478E+000                 -4.2252657693277120E+000                  5.4770153252643743E+000                  6.2103924279757550E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059784E-003                  9.3604492797742141E-003                  2.1000000000000014E+000                  8.3991060709424670E-001                                        0                                        0                                        3 
                                       5                                      516                  7.4416000000000000E-005                 -4.6832750158095005E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  2.0307560950552528E-004                  9.9999269317705497E-001                  1.1269450087726039E-001                  9.4279195903750224E-002                  3.6113966325772948E-002                  9.9999269317705497E-001                  1.1269450087726039E-001                  9.4279195903750224E-002                  3.6113966325772948E-002                 -2.1340283604656225E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                 -2.1340283604656225E+001                 -2.1340283604656225E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6523920243396515E+000                  3.4115090856815296E+000                  1.9242293306140879E+000                  1.0665519469046119E+000                 -7.7691587356601721E-001                  9.3806335794022395E+000                 -4.2252654322648633E+000                  5.4770152179557732E+000                  6.2103924298288748E-001                  8.5000496627254196E-001                  1.2966439686859803E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059789E-003                  9.3604492797742141E-003                  2.1000000000000010E+000                  8.3991060709424659E-001                                        0                                        0                                        3 
                                      10                                      516                  2.5958682111999992E-004                 -4.2873687855713767E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  2.0279419237637344E-004                  9.9999214243909540E-001                  1.1269337201257000E-001                  9.4279195903749835E-002                  3.6114007625225361E-002                  9.9999214243909540E-001                  1.1269337201257000E-001                  9.4279195903749835E-002                  3.6114007625225361E-002                 -2.1340287278127391E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1340287278127391E+001                 -2.1340287278127391E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6472788569986978E+000                  3.3906279644881687E+000                  1.9240151046993146E+000                  1.0669803987341584E+000                 -6.8147584909940406E-001                  9.3806341475028354E+000                 -4.2252646827966593E+000                  5.4770150489200002E+000                  6.2103924327027216E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059780E-003                  9.3604492797742141E-003                  2.1000000000000014E+000                  8.3991060709424659E-001                                        0                                        0                                        3 
                                      15                                      511                  7.2035107872931792E-004                 -3.8914625553332525E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  2.0176820406057181E-004                  9.9999139094886424E-001                  1.1269183480336294E-001                  9.4279195903749557E-002                  3.6114104287214122E-002                  9.9999139094886424E-001                  1.1269183480336294E-001                  9.4279195903749557E-002                  3.6114104287214122E-002                 -2.1340293009372886E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1340293009372886E+001                 -2.1340293009372886E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6377886573548084E+000                  3.3518038403747061E+000                  1.9235834419303623E+000                  1.0678437242720626E+000                 -5.3170418036646583E-001                  9.3806352499576384E+000                 -4.2252635282341791E+000                  5.4770150092774772E+000                  6.2103924331740101E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059767E-003                  9.3604492797742141E-003                  2.1000000000000014E+000                  8.3991060709424670E-001                                        0                                        0                                        4 
                                      20                                      515                  1.8668799962237360E-003                 -3.4955563250951283E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  1.9668713236045132E-004                  9.9999016107405470E-001                  1.1269164667040106E-001                  9.4279195903748225E-002                  3.6114267951824097E-002                  9.9999016107405470E-001                  1.1269164667040106E-001                  9.4279195903748225E-002                  3.6114267951824097E-002                 -2.1340297233191091E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1340297233191091E+001                 -2.1340297233191091E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6241028427466166E+000                  3.2955851607337694E+000                  1.9228457313262781E+000                  1.0693191454802315E+000                 -3.4586517975301484E-001                  9.3806370691942842E+000                 -4.2252620649114432E+000                  5.4770153688634338E+000                  6.2103924264273802E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059771E-003                  9.3604492797742158E-003                  2.1000000000000014E+000                  8.3991060709424670E-001                                        0                                        0                                        5 
                                      25                                      515                  4.7198108322034464E-003                 -3.0996500948570045E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  1.6279621576338144E-004                  9.9998866950293241E-001                  1.1269172477558399E-001                  1.0035481158763643E-001                  3.6114543551024100E-002                  9.9998866950293241E-001                  1.1269172477558399E-001                  1.0035481158763643E-001                  3.6114543551024100E-002                 -2.1340292258908530E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1340292258908530E+001                 -2.1340292258908530E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6092432690721492E+000                  3.2340579925259623E+000                  1.9218012945713094E+000                  1.0714080189901687E+000                 -1.8688600295409874E-001                  9.3806401408863529E+000                 -4.2252600438537309E+000                  5.4770164085023909E+000                  6.2103924073792927E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059763E-003                  9.3604492797742141E-003                  2.1000000000000014E+000                  8.3991060709424659E-001                                        0                                        0                                        3 
                                      30                                      509                  1.1818815689988476E-002                 -2.7037438646188803E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  1.1679641155725029E-004                  9.9998803908626765E-001                  3.6115283227510182E-002                  1.4328187393261747E-002                  1.2632486109972416E-004                  9.9998803908626765E-001                  3.6115283227510182E-002                  1.4328187393261747E-002                  1.2632486109972416E-004                 -2.1340265989919857E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1340265989919857E+001                 -2.1340265989919857E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5974368978231999E+000                  3.1843589557099663E+000                  1.9205645186612101E+000                  1.0738815708103675E+000                 -8.4171203478360712E-002                  9.3806455988978286E+000                 -4.2252566925098858E+000                  5.4770184864619260E+000                  6.2103923694506835E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059767E-003                  9.3604492797742158E-003                  2.1000000000000014E+000                  8.3991060709424659E-001                                        0                                        0                                        3 
                                      35                                      510                  2.9483411457712123E-002                 -2.3078376343807565E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  1.1526853080063918E-004                  9.9998753942454144E-001                  3.6117836159742234E-002                  1.4328187393263858E-002                  1.2867102693329879E-004                  9.9998753942454144E-001                  3.6117836159742234E-002                  1.4328187393263858E-002                  1.2867102693329879E-004                 -2.1340190330385042E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1340190330385042E+001                 -2.1340190330385042E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5900652864941911E+000                  3.1524026952925808E+000                  1.9193296111105353E+000                  1.0763513859117169E+000                 -3.1950722077793405E-002                  9.3806569988326647E+000                 -4.2252497692663740E+000                  5.4770229002624786E+000                  6.2103922889305307E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059758E-003                  9.3604492797742123E-003                  2.1000000000000010E+000                  8.3991060709424670E-001                                        0                                        0                                        3 
                                      40                                      513                  7.3438578398454205E-002                 -1.9119314041426323E+000                  3.0000000000000000E+000                  3.3775799705279844E+001                 -9.8999999999999986E+001                  7.3332640284970479E-005                  9.9998803908626777E-001                  3.6123184464961461E-002                  1.4328187393264080E-002                  1.4958782163931896E-004                  9.9998803908626777E-001                  3.6123184464961461E-002                  1.4328187393264080E-002                  1.4958782163931896E-004                 -2.1339968174383380E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1339968174383380E+001                 -2.1339968174383380E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5864302476732641E+000                  3.1357490452197760E+000                  1.9182728637159856E+000                  1.0784648807008164E+000                 -1.0321183534800757E-002                  9.3806882319212868E+000                 -4.2252308244244716E+000                  5.4770350153092062E+000                  6.2103920679554248E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059750E-003                  9.3604492797742141E-003                  2.1000000000000010E+000                  8.3991060709424670E-001                                        0                                        0                                        3 
