                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211201"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      576                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7554853861294723E-005                  8.8348695648545239E-001                  1.0600526216696944E-001                  9.3844131242624973E-002                  2.4035241097039497E-004                  8.8348695648545239E-001                  1.0600526216696944E-001                  9.3844131242624973E-002                  2.4035241097039497E-004                 -2.0882903368087618E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882903368087618E+001                 -2.0882903368087618E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6377247201415228E+000                  2.4395138989474625E+000                  1.4675663456433115E+000                  1.5027566621265023E+000                 -3.2504014422066718E-001                  1.0311644361278166E+001                 -3.2889059615680232E+000                  5.4770313944531743E+000                  6.2132036754965236E-001                  8.5000496627254174E-001                  1.2966439686859808E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416073257059658E-003                  9.3604492797742123E-003                  3.4416073257059810E-003                  9.3604492797742141E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        3 
                                       5                                      574                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7548836194123097E-005                  8.8348695648545239E-001                  1.0600526323403267E-001                  9.3844131242624973E-002                  2.4035252796376168E-004                  8.8348695648545239E-001                  1.0600526323403267E-001                  9.3844131242624973E-002                  2.4035252796376168E-004                 -2.0882904241774263E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882904241774263E+001                 -2.0882904241774263E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6358445428372828E+000                  2.4318087506491390E+000                  1.4674741261026305E+000                  1.5029411012078642E+000                 -3.0843779134351162E-001                  1.0311644479768985E+001                 -3.2889058662131130E+000                  5.4770314176759261E+000                  6.2132036754177489E-001                  8.5000496627254174E-001                  1.2966439686859808E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416073257059654E-003                  9.3604492797742123E-003                  3.4416073257059802E-003                  9.3604492797742141E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        3 
                                      10                                      574                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7528179212519317E-005                  8.8348695648545217E-001                  1.0600526674253505E-001                  9.3844131242624751E-002                  2.4035263052777939E-004                  8.8348695648545217E-001                  1.0600526674253505E-001                  9.3844131242624751E-002                  2.4035263052777939E-004                 -2.0882906152822784E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882906152822784E+001                 -2.0882906152822784E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6312662445582058E+000                  2.4130200141299061E+000                  1.4672363544011671E+000                  1.5034166446107908E+000                 -2.6873789233138867E-001                  1.0311644771175120E+001                 -3.2889056427976771E+000                  5.4770314856641731E+000                  6.2132036747903241E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416073257059654E-003                  9.3604492797742141E-003                  3.4416073257059797E-003                  9.3604492797742158E-003                  7.0000000000000073E-001                  2.7997020236474879E-001                                        0                                        0                                        5 
                                      15                                      572                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7452407319604468E-005                  8.8348695648545184E-001                  2.4035189789974187E-004                  9.9999752500912231E-001                  9.4690595514266995E-001                  8.8348695648545184E-001                  2.4035189789974187E-004                  9.9999752500912231E-001                  9.4690595514266995E-001                 -2.0882908873921327E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882908873921327E+001                 -2.0882908873921327E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6230260878802731E+000                  2.3791186232771526E+000                  1.4667659723306559E+000                  1.5043574087518132E+000                 -2.0378737048226708E-001                  1.0311645341984390E+001                 -3.2889052421271838E+000                  5.4770316550783846E+000                  6.2132036721163419E-001                  8.5000496627254174E-001                  1.2966439686859808E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416073257059632E-003                  9.3604492797742123E-003                  3.4416073257059797E-003                  9.3604492797742141E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        5 
                                      20                                      571                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7071921778394129E-005                  8.8348695648545206E-001                  2.4035185150847045E-004                  9.9999740696330208E-001                  9.4690595426072366E-001                  8.8348695648545206E-001                  2.4035185150847045E-004                  9.9999740696330208E-001                  9.4690595426072366E-001                 -2.0882910963028259E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882910963028259E+001                 -2.0882910963028259E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6116556653474854E+000                  2.3320887792297857E+000                  1.4659918953725486E+000                  1.5059055626680282E+000                 -1.2716227599093868E-001                  1.0311646257475314E+001                 -3.2889046494092797E+000                  5.4770319757175674E+000                  6.2132036658768719E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416073257059628E-003                  9.3604492797742141E-003                  3.4416073257059793E-003                  9.3604492797742158E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        3 
                                      25                                      566                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.4362879879598114E-005                  8.8348695648545217E-001                  2.4035206555216720E-004                  9.9999728671267107E-001                  9.4533934661602459E-001                  8.8348695648545217E-001                  2.4035206555216720E-004                  9.9999728671267107E-001                  9.4533934661602459E-001                 -2.0882909067010264E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882909067010264E+001                 -2.0882909067010264E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6000615757198706E+000                  2.2836439611070278E+000                  1.4649576655663998E+000                  1.5079740222803257E+000                 -6.3717627645454883E-002                  1.0311647485210578E+001                 -3.2889038925695560E+000                  5.4770324430107626E+000                  6.2132036560223325E-001                  8.5000496627254174E-001                  1.2966439686859808E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416073257059615E-003                  9.3604492797742123E-003                  3.4416073257059784E-003                  9.3604492797742141E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        7 
                                      30                                      564                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  4.2318634684106815E-005                  8.8348695648545217E-001                  2.4035353242355374E-004                  9.9999728671267107E-001                  9.3685307188709321E-001                  8.8348695648545217E-001                  2.4035353242355374E-004                  9.9999728671267107E-001                  9.3685307188709321E-001                 -2.0882899360572342E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.0882899360572342E+001                 -2.0882899360572342E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5913280889269887E+000                  2.2465220050014247E+000                  1.4638636610993614E+000                  1.5101620312144024E+000                 -2.4842261582610433E-002                  1.0311649282245980E+001                 -3.2889028070262847E+000                  5.4770331487969628E+000                  6.2132036407288471E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416073257059606E-003                  9.3604492797742141E-003                  3.4416073257059784E-003                  9.3604492797742158E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        3 
                                      35                                      560                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.8792674321658459E-005                  8.8659416782208134E-001                  2.4036703094552239E-004                  9.9999740696330175E-001                  9.3313480483754974E-001                  8.8659416782208134E-001                  2.4036703094552239E-004                  9.9999740696330175E-001                  9.3313480483754974E-001                 -2.0882873206606565E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0882873206606565E+001                 -2.0882873206606565E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5863336974890774E+000                  2.2247176399381132E+000                  1.4629502614435277E+000                  1.5119888305260700E+000                 -7.6586730782666097E-003                  1.0311652987723765E+001                 -3.2889005786882812E+000                  5.4770346139755208E+000                  6.2132036088018705E-001                  8.5000496627254174E-001                  1.2966439686859808E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4416073257059585E-003                  9.3604492797742123E-003                  3.4416073257059771E-003                  9.3604492797742141E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        4 
                                      40                                      563                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.8670267911611137E-005                  8.9829523822790680E-001                  5.3834250665598764E-002                  9.9999799225708030E-001                  9.2718386363119631E-001                  8.9829523822790680E-001                  5.3834250665598764E-002                  9.9999799225708030E-001                  9.2718386363119631E-001                 -2.0882796709808023E+001                 -9.8999999999999986E+001                 -3.6725659471005699E+001                 -2.0882796709808023E+001                 -2.0882796709808023E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5841987809154250E+000                  2.2149490623598473E+000                  1.4623358058017000E+000                  1.5132177418097250E+000                 -1.8902598595738685E-003                  1.0311663444596253E+001                 -3.2888942930997223E+000                  5.4770387514507126E+000                  6.2132035186014223E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416073257059585E-003                  9.3604492797742141E-003                  3.4416073257059771E-003                  9.3604492797742158E-003                  7.0000000000000084E-001                  2.7997020236474884E-001                                        0                                        0                                        5 
